序号,结果,型号名称,SN编号,时间,
        26,Fail,Eawdfr2s3WEE,10p8-082wj515,2014-02-18 19:54:36,
        27,Fail,Eawdfr2s3WEE,10p8-082wj516,2014-02-18 19:54:36,
        28,Fail,Eawdfr2s3WEE,10p8-082wj517,2014-02-18 19:54:36,
        29,Fail,Eawdfr2s3WEE,10p8-082wj518,2014-02-18 19:54:39,
        30,Fail,Eawdfr2s3WEE,10p8-082wj519,2014-02-18 19:54:39,
        31,Fail,Eawdfr2s3WEE,10p8-082wj520,2014-02-18 19:54:40,
        32,Fail,Eawdfr2s3WEE,10p8-082wj521,2014-02-18 19:54:40,
        33,Fail,Eawdfr2s3WEE,10p8-082wj522,2014-02-18 19:54:40,
        34,Fail,Eawdfr2s3WEE,10p8-082wj523,2014-02-18 19:54:41,
        35,Fail,Eawdfr2s3WEE,10p8-082wj524,2014-02-18 19:54:41,
        36,Fail,Eawdfr2s3WEE,10p8-082wj525,2014-02-18 19:54:41,
        37,Fail,Eawdfr2s3WEE,10p8-082wj526,2014-02-18 19:54:42,
        38,Fail,Eawdfr2s3WEE,10p8-082wj527,2014-02-18 19:54:42,
        39,Fail,Eawdfr2s3WEE,10p8-082wj528,2014-02-18 19:54:43,
        40,Fail,Eawdfr2s3WEE,10p8-082wj529,2014-02-18 19:54:43,
        41,Fail,Eawdfr2s3WEE,10p8-082wj530,2014-02-18 19:54:43,
        42,Fail,Eawdfr2s3WEE,10p8-082wj531,2014-02-18 19:54:43,
        43,Fail,Eawdfr2s3WEE,10p8-082wj532,2014-02-18 19:54:44,
        44,Fail,Eawdfr2s3WEE,10p8-082wj533,2014-02-18 19:54:44,
        45,Fail,Eawdfr2s3WEE,10p8-082wj534,2014-02-18 19:54:44,
        46,Fail,Eawdfr2s3WEE,10p8-082wj535,2014-02-18 19:54:45,
        47,Fail,Eawdfr2s3WEE,10p8-082wj536,2014-02-18 19:54:45,
        48,Fail,Eawdfr2s3WEE,10p8-082wj537,2014-02-18 19:54:45,
        49,Fail,Eawdfr2s3WEE,10p8-082wj538,2014-02-18 19:54:46,
        50,Fail,Eawdfr2s3WEE,10p8-082wj539,2014-02-18 19:54:46,
        51,Fail,Eawdfr2s3WEE,10p8-082wj540,2014-02-18 19:54:46,
        52,Fail,Eawdfr2s3WEE,10p8-082wj541,2014-02-18 19:54:47,
        53,Fail,Eawdfr2s3WEE,10p8-082wj542,2014-02-18 19:54:47,
        54,Fail,Eawdfr2s3WEE,10p8-082wj543,2014-02-18 19:54:47,
        55,Fail,Eawdfr2s3WEE,10p8-082wj544,2014-02-18 19:54:48,
        56,Fail,Eawdfr2s3WEE,10p8-082wj545,2014-02-18 19:54:48,
        57,Fail,Eawdfr2s3WEE,10p8-082wj546,2014-02-18 19:54:49,
        58,Fail,Eawdfr2s3WEE,10p8-082wj547,2014-02-18 19:54:49,
        59,Fail,Eawdfr2s3WEE,10p8-082wj548,2014-02-18 19:54:49,
        60,Fail,Eawdfr2s3WEE,10p8-082wj549,2014-02-18 19:54:50,
        61,Fail,Eawdfr2s3WEE,10p8-082wj550,2014-02-18 19:54:50,
        62,Fail,Eawdfr2s3WEE,10p8-082wj551,2014-02-18 19:54:50,
        63,Fail,Eawdfr2s3WEE,10p8-082wj552,2014-02-18 19:54:51,
        64,Fail,Eawdfr2s3WEE,10p8-082wj553,2014-02-18 19:54:51,
        65,Fail,Eawdfr2s3WEE,10p8-082wj554,2014-02-18 19:54:51,
        66,Fail,Eawdfr2s3WEE,10p8-082wj555,2014-02-18 19:54:52,
        67,Fail,Eawdfr2s3WEE,10p8-082wj556,2014-02-18 19:54:52,
        68,Fail,Eawdfr2s3WEE,10p8-082wj557,2014-02-18 19:54:53,
        69,Fail,Eawdfr2s3WEE,10p8-082wj558,2014-02-18 19:54:53,
        70,Fail,Eawdfr2s3WEE,10p8-082wj559,2014-02-18 19:54:54,
        71,Fail,Eawdfr2s3WEE,10p8-082wj560,2014-02-18 19:54:54,
        72,Fail,Eawdfr2s3WEE,10p8-082wj561,2014-02-18 19:54:54,
        73,Fail,Eawdfr2s3WEE,10p8-082wj562,2014-02-18 19:54:55,
        74,Fail,Eawdfr2s3WEE,10p8-082wj563,2014-02-18 19:54:55,
        75,Fail,Eawdfr2s3WEE,10p8-082wj564,2014-02-18 19:54:55,
        76,Fail,Eawdfr2s3WEE,10p8-082wj565,2014-02-18 19:54:56,
        77,Fail,Eawdfr2s3WEE,10p8-082wj566,2014-02-18 19:54:56,
        78,Fail,Eawdfr2s3WEE,10p8-082wj567,2014-02-18 19:54:57,
        79,Fail,Eawdfr2s3WEE,10p8-082wj568,2014-02-18 19:54:57,
        80,Fail,Eawdfr2s3WEE,10p8-082wj569,2014-02-18 19:54:57,
        81,Fail,Eawdfr2s3WEE,10p8-082wj570,2014-02-18 19:54:57,
        82,Fail,Eawdfr2s3WEE,10p8-082wj571,2014-02-18 19:54:58,
        83,Fail,Eawdfr2s3WEE,10p8-082wj572,2014-02-18 19:54:58,
        84,Fail,Eawdfr2s3WEE,10p8-082wj573,2014-02-18 19:54:58,
        85,Fail,Eawdfr2s3WEE,10p8-082wj574,2014-02-18 19:54:59,
        86,Fail,Eawdfr2s3WEE,10p8-082wj575,2014-02-18 19:54:59,
        87,Fail,Eawdfr2s3WEE,10p8-082wj576,2014-02-18 19:55:00,
        88,Fail,Eawdfr2s3WEE,10p8-082wj577,2014-02-18 19:55:00,
        89,Fail,Eawdfr2s3WEE,10p8-082wj578,2014-02-18 19:55:00,
        90,Fail,Eawdfr2s3WEE,10p8-082wj579,2014-02-18 19:55:00,
        91,Fail,Eawdfr2s3WEE,10p8-082wj580,2014-02-18 19:55:01,
        92,Fail,Eawdfr2s3WEE,10p8-082wj581,2014-02-18 19:55:01,
        93,Fail,Eawdfr2s3WEE,10p8-082wj582,2014-02-18 19:55:01,
        94,Fail,Eawdfr2s3WEE,10p8-082wj583,2014-02-18 19:55:02,
        95,Fail,Eawdfr2s3WEE,10p8-082wj584,2014-02-18 19:55:02,
        96,Fail,Eawdfr2s3WEE,10p8-082wj585,2014-02-18 19:55:02,
        97,Fail,Eawdfr2s3WEE,10p8-082wj586,2014-02-18 19:55:03,
        98,Fail,Eawdfr2s3WEE,10p8-082wj587,2014-02-18 19:55:03,
        99,Fail,Eawdfr2s3WEE,10p8-082wj588,2014-02-18 19:55:03,
       100,Fail,Eawdfr2s3WEE,10p8-082wj589,2014-02-18 19:55:04,
       101,Fail,Eawdfr2s3WEE,10p8-082wj590,2014-02-18 19:55:04,
       102,Fail,Eawdfr2s3WEE,10p8-082wj591,2014-02-18 19:55:04,
       103,Fail,Eawdfr2s3WEE,10p8-082wj592,2014-02-18 19:55:05,
       104,Fail,Eawdfr2s3WEE,10p8-082wj593,2014-02-18 19:55:05,
       105,Fail,Eawdfr2s3WEE,10p8-082wj594,2014-02-18 19:55:05,
       106,Fail,Eawdfr2s3WEE,10p8-082wj595,2014-02-18 19:55:06,
       107,Fail,Eawdfr2s3WEE,10p8-082wj596,2014-02-18 19:55:06,
       108,Fail,Eawdfr2s3WEE,10p8-082wj597,2014-02-18 19:55:06,
       109,Fail,Eawdfr2s3WEE,10p8-082wj598,2014-02-18 19:55:06,
       110,Fail,Eawdfr2s3WEE,10p8-082wj599,2014-02-18 19:55:07,
       111,Fail,Eawdfr2s3WEE,10p8-082wj600,2014-02-18 19:55:07,
       112,Fail,Eawdfr2s3WEE,10p8-082wj601,2014-02-18 19:55:07,
       113,Fail,Eawdfr2s3WEE,10p8-082wj602,2014-02-18 19:55:07,
       114,Fail,Eawdfr2s3WEE,10p8-082wj603,2014-02-18 19:55:08,
       115,Fail,Eawdfr2s3WEE,10p8-082wj604,2014-02-18 19:55:08,
       116,Fail,Eawdfr2s3WEE,10p8-082wj605,2014-02-18 19:55:08,
       117,Fail,Eawdfr2s3WEE,10p8-082wj606,2014-02-18 19:55:09,
       118,Fail,Eawdfr2s3WEE,10p8-082wj607,2014-02-18 19:55:09,
       119,Fail,Eawdfr2s3WEE,10p8-082wj608,2014-02-18 19:55:09,
       120,Fail,Eawdfr2s3WEE,10p8-082wj609,2014-02-18 19:55:10,
       121,Fail,Eawdfr2s3WEE,10p8-082wj610,2014-02-18 19:55:10,
       122,Fail,Eawdfr2s3WEE,10p8-082wj611,2014-02-18 19:55:10,
       123,Fail,Eawdfr2s3WEE,10p8-082wj612,2014-02-18 19:55:11,
       124,Fail,Eawdfr2s3WEE,10p8-082wj613,2014-02-18 19:55:11,
       125,Fail,Eawdfr2s3WEE,10p8-082wj614,2014-02-18 19:55:11,
       126,Fail,Eawdfr2s3WEE,10p8-082wj615,2014-02-18 19:55:11,
       127,Fail,Eawdfr2s3WEE,10p8-082wj616,2014-02-18 19:55:12,
       128,Fail,Eawdfr2s3WEE,10p8-082wj617,2014-02-18 19:55:12,
       129,Fail,Eawdfr2s3WEE,10p8-082wj618,2014-02-18 19:55:12,
       130,Fail,Eawdfr2s3WEE,10p8-082wj619,2014-02-18 19:55:13,
       131,Fail,Eawdfr2s3WEE,10p8-082wj620,2014-02-18 19:55:13,
       132,Fail,Eawdfr2s3WEE,10p8-082wj621,2014-02-18 19:55:13,
       133,Fail,Eawdfr2s3WEE,10p8-082wj622,2014-02-18 19:55:14,
       134,Fail,Eawdfr2s3WEE,10p8-082wj623,2014-02-18 19:55:14,
       135,Fail,Eawdfr2s3WEE,10p8-082wj624,2014-02-18 19:55:14,
       136,Fail,Eawdfr2s3WEE,10p8-082wj625,2014-02-18 19:55:15,
       137,Fail,Eawdfr2s3WEE,10p8-082wj626,2014-02-18 19:55:15,
       138,Fail,Eawdfr2s3WEE,10p8-082wj627,2014-02-18 19:55:15,
       139,Fail,Eawdfr2s3WEE,10p8-082wj628,2014-02-18 19:55:15,
       140,Fail,Eawdfr2s3WEE,10p8-082wj629,2014-02-18 19:55:16,
       141,Fail,Eawdfr2s3WEE,10p8-082wj630,2014-02-18 19:55:16,
       142,Fail,Eawdfr2s3WEE,10p8-082wj631,2014-02-18 19:55:16,
       143,Fail,Eawdfr2s3WEE,10p8-082wj632,2014-02-18 19:55:17,
       144,Fail,Eawdfr2s3WEE,10p8-082wj633,2014-02-18 19:55:17,
       145,Fail,Eawdfr2s3WEE,10p8-082wj634,2014-02-18 19:55:17,
       146,Fail,Eawdfr2s3WEE,10p8-082wj635,2014-02-18 19:55:18,
       147,Fail,Eawdfr2s3WEE,10p8-082wj636,2014-02-18 19:55:18,
       148,Fail,Eawdfr2s3WEE,10p8-082wj637,2014-02-18 19:55:18,
       149,Fail,Eawdfr2s3WEE,10p8-082wj638,2014-02-18 19:55:18,
       150,Fail,Eawdfr2s3WEE,10p8-082wj639,2014-02-18 19:55:19,
       151,Fail,Eawdfr2s3WEE,10p8-082wj640,2014-02-18 19:55:19,
       152,Fail,Eawdfr2s3WEE,10p8-082wj641,2014-02-18 19:55:19,
       153,Fail,Eawdfr2s3WEE,10p8-082wj642,2014-02-18 19:55:20,
       154,Fail,Eawdfr2s3WEE,10p8-082wj643,2014-02-18 19:55:20,
       155,Fail,Eawdfr2s3WEE,10p8-082wj644,2014-02-18 19:55:20,
       156,Fail,Eawdfr2s3WEE,10p8-082wj645,2014-02-18 19:55:20,
       157,Fail,Eawdfr2s3WEE,10p8-082wj646,2014-02-18 19:55:21,
       158,Fail,Eawdfr2s3WEE,10p8-082wj647,2014-02-18 19:55:21,
       159,Fail,Eawdfr2s3WEE,10p8-082wj648,2014-02-18 19:55:21,
       160,Fail,Eawdfr2s3WEE,10p8-082wj649,2014-02-18 19:55:22,
       161,Fail,Eawdfr2s3WEE,10p8-082wj650,2014-02-18 19:55:22,
       162,Fail,Eawdfr2s3WEE,10p8-082wj651,2014-02-18 19:55:22,
       163,Fail,Eawdfr2s3WEE,10p8-082wj652,2014-02-18 19:55:23,
       164,Fail,Eawdfr2s3WEE,10p8-082wj653,2014-02-18 19:55:23,
       165,Fail,Eawdfr2s3WEE,10p8-082wj654,2014-02-18 19:55:23,
       166,Fail,Eawdfr2s3WEE,10p8-082wj655,2014-02-18 19:55:24,
       167,Fail,Eawdfr2s3WEE,10p8-082wj656,2014-02-18 19:55:24,
       168,Fail,Eawdfr2s3WEE,10p8-082wj657,2014-02-18 19:55:24,
       169,Fail,Eawdfr2s3WEE,10p8-082wj658,2014-02-18 19:55:24,
       170,Fail,Eawdfr2s3WEE,10p8-082wj659,2014-02-18 19:55:25,
       171,Fail,Eawdfr2s3WEE,10p8-082wj660,2014-02-18 19:55:25,
       172,Fail,Eawdfr2s3WEE,10p8-082wj661,2014-02-18 19:55:25,
       173,Fail,Eawdfr2s3WEE,10p8-082wj662,2014-02-18 19:55:26,
       174,Fail,Eawdfr2s3WEE,10p8-082wj663,2014-02-18 19:55:26,
       175,Fail,Eawdfr2s3WEE,10p8-082wj664,2014-02-18 19:55:26,
       176,Fail,Eawdfr2s3WEE,10p8-082wj665,2014-02-18 19:55:27,
       177,Fail,Eawdfr2s3WEE,10p8-082wj666,2014-02-18 19:55:27,
       178,Fail,Eawdfr2s3WEE,10p8-082wj667,2014-02-18 19:55:27,
       179,Fail,Eawdfr2s3WEE,10p8-082wj668,2014-02-18 19:55:28,
       180,Fail,Eawdfr2s3WEE,10p8-082wj669,2014-02-18 19:55:28,
       181,Fail,Eawdfr2s3WEE,10p8-082wj670,2014-02-18 19:55:29,
       182,Fail,Eawdfr2s3WEE,10p8-082wj671,2014-02-18 19:55:29,
       183,Fail,Eawdfr2s3WEE,10p8-082wj672,2014-02-18 19:55:29,
       184,Fail,Eawdfr2s3WEE,10p8-082wj673,2014-02-18 19:55:30,
       185,Fail,Eawdfr2s3WEE,10p8-082wj674,2014-02-18 19:55:30,
       186,Fail,Eawdfr2s3WEE,10p8-082wj675,2014-02-18 19:55:31,
       187,Fail,Eawdfr2s3WEE,10p8-082wj676,2014-02-18 19:55:31,
       188,Fail,Eawdfr2s3WEE,10p8-082wj677,2014-02-18 19:55:31,
       189,Fail,Eawdfr2s3WEE,10p8-082wj678,2014-02-18 19:55:32,
       190,Fail,Eawdfr2s3WEE,10p8-082wj679,2014-02-18 19:55:32,
       191,Fail,Eawdfr2s3WEE,10p8-082wj680,2014-02-18 19:55:32,
       192,Fail,Eawdfr2s3WEE,10p8-082wj681,2014-02-18 19:55:33,
       193,Fail,Eawdfr2s3WEE,10p8-082wj682,2014-02-18 19:55:33,
       194,Fail,Eawdfr2s3WEE,10p8-082wj683,2014-02-18 19:55:33,
